WDS,plx_origin,plx,plx_err,kepler_min,kepler,kepler_max,gmass_min,gmass,gmass_max,gmass1_min,gmass1,gmass1_max,gmass2_min,gmass2,gmass2_max,plx_origin0,plx0,plx_err0,kepler0,rho,PA
06545-2734,H97,13.34,2.71,0.573,2.031,8.171,1.878,2.036,2.303,0.951,1.029,1.171,0.927,1.007,1.132,DR3,13.401,0.045,1.862,0.72,294
06555+3010,H07,25.98,1.86,0.239,1.97,11.131,1.628,1.739,1.847,0.834,0.885,0.942,0.794,0.853,0.905,H07,25.98,1.86,1.806,0.91,119
06579-4417,DR3,124.441,0.031,0.066,0.537,2.982,0.545,0.624,0.694,0.274,0.313,0.349,0.27,0.311,0.345,DR3,124.441,0.031,0.495,2.39,67
07112+4330,oth,76.4,1.1,0.183,0.203,0.227,0.203,0.215,0.232,0.078,0.08,0.083,0.124,0.136,0.149,x,76.4,1.1,0.203,0.63,245
07527+0323,H07,4.76,1.5,1.844,4.489,14.498,3.556,4.28,5.977,1.796,2.168,3.034,1.761,2.112,2.943,H07,4.76,1.5,4.4,0.95,9
08122+1739,DR3,40.888,0.146,2.528,2.569,2.61,2.175,2.365,2.572,1.128,1.225,1.331,1.047,1.14,1.24,DR3,40.888,0.146,2.569,1.14,18
08132-1354,H07,48.45,5.34,0.955,1.308,1.857,1.119,1.21,1.312,0.585,0.637,0.687,0.534,0.573,0.624,H07,48.45,5.34,1.308,1.1,118
08153-6255,H97,13.47,0.56,1.003,4.267,18.866,3.288,3.634,4.186,2.088,2.329,2.766,1.2,1.305,1.419,H97,13.47,0.56,4.21,4.07,70
08231+2001,H97,6.55,1.78,0.677,2.668,12.757,2.104,2.426,2.853,1.059,1.22,1.436,1.045,1.206,1.417,H97,6.55,1.78,2.413,0.45,350
08243+4457,DR3,27.113,0.015,0.24,1.97,10.878,1.694,1.801,1.915,0.937,0.992,1.054,0.757,0.809,0.861,DR3,27.113,0.015,1.815,29.12,242
08394-3636,H07,26.42,0.67,1.83,2.261,2.782,2.071,2.23,2.396,1.197,1.301,1.413,0.874,0.928,0.983,H07,26.42,0.67,2.26,0.87,244
08456+8442,H97,23.1,2.05,0.186,1.541,8.817,1.45,1.552,1.673,0.719,0.768,0.827,0.731,0.784,0.845,DR3,21.566,0.64,1.745,0.51,149
08462-1422,H97,10.88,1.37,1.422,2.139,3.339,2.042,2.243,2.485,1.019,1.117,1.237,1.023,1.126,1.249,H97,10.88,1.37,2.131,0.42,330
08507+0752,DR3,56.124,0.031,0.645,1.231,2.38,1.124,1.206,1.298,0.573,0.617,0.663,0.551,0.59,0.635,DR3,56.124,0.031,1.221,1.18,182
08531+5457,H07,19.19,0.73,1.819,2.072,2.366,1.951,2.068,2.249,0.985,1.045,1.139,0.966,1.023,1.11,H07,19.19,0.73,2.071,0.68,92
